sample_1	sample_2	plagiarized	reason
"import java.util.Scanner;  public class T2 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in);   // Enter radius of the cylinder  System.out.print(""Enter the radius and length of a cylinder: "");  double radius = input.nextDouble();  double length = input.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + area);  System.out.println(""The volume of the cylinder is "" + volume);  }  }"	"import java.util.Scanner; /** * * @author 65FBEF05E01FAC390CB3FA073FB3E8CF (452BF208BF901322968557227B8F6EFE010) */ public class T02 { public static void main(String[] args) {  Scanner s = new Scanner(System.in);  System.out.print(""Enter the radius and length of a cylinder: "");  float r = s.nextFloat();  float l = s.nextFloat();  System.out.println(""The area is "" + r * r * 3.14159);  System.out.println(""The volume is "" + (r * r * 3.14159) * l);  } }"	False	The code samples show significant structural and conceptual similarities, including identical problem-solving approaches and nearly verbatim output statements, which suggest a common source or assignment. However, the differences in variable naming, data types, calculation methods, and overall code style indicate that these are likely independent implementations of the same problem rather than direct copying, making it difficult to definitively classify this as plagiarism without more context.
"import java.util.Scanner;  public class T2 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in);   // Enter radius of the cylinder  System.out.print(""Enter the radius and length of a cylinder: "");  double radius = input.nextDouble();  double length = input.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + area);  System.out.println(""The volume of the cylinder is "" + volume);  }  }"	"import java.util.Scanner; /**  *  * @author CB6AB3315634A1E4D11B091BA48B60BA  */ public class Nomor2_2451041557A22145B3701B0184109CAB013 {   /**  * @param args the command line arguments  */  public static void main(String[] args) {  Scanner sc = new Scanner(System.in);  System.out.print(""Enter the radius and length of a cylinder : "");  double radius = sc.nextDouble();  double length = sc.nextDouble();  double area = (radius * radius) * 3.14159;  double volume = area * length;  System.out.println(""The area is : "" + area);  System.out.println(""The volume is : "" + volume);  }  }"	False	These code samples do not demonstrate plagiarism because they are solving a common, simple programming problem that naturally leads to similar implementations. While they share basic structure and formulas, there are distinct differences in naming, formatting, and specific implementation details that indicate independent work.
"import java.util.Scanner;  public class T2 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in);   // Enter radius of the cylinder  System.out.print(""Enter the radius and length of a cylinder: "");  double radius = input.nextDouble();  double length = input.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + area);  System.out.println(""The volume of the cylinder is "" + volume);  }  }"	"import java.util.Scanner; public class L1 { public static void main(String[] args) {  Scanner input = new Scanner(System.in); System.out.print(""""Enter the radius and length of a cylinder: """");  double radius = input.nextDouble();  double length = input.nextDouble();  double area = radius * radius * 3.14159;  double volume = area * length;  System.out.println(""""The area is """" + area + """", """");  System.out.print(""""The volume of the cylinder is """" + volume);  } }"	True	The two code samples are nearly identical in structure, logic, and even comments, with only minor differences in class names and output formatting. This level of similarity, including matching variable names and the specific order of operations, strongly indicates that one sample was copied from the other or both were derived from a common source, rather than being independently developed solutions to the same problem.
"import java.util.Scanner;  public class T2 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in);   // Enter radius of the cylinder  System.out.print(""Enter the radius and length of a cylinder: "");  double radius = input.nextDouble();  double length = input.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + area);  System.out.println(""The volume of the cylinder is "" + volume);  }  }"	"import java.util.*; public class L2 { public static void main(String[] args) { Scanner input = new Scanner(System.in); System.out.print(""Enter the radius and length of a cylinder: ""); double jari2 = input.nextDouble(); double panjang = input.nextDouble(); double luas = jari2 * jari2 * 3.14159; double total = luas * panjang; System.out.println(""The area is "" + luas); System.out.println(""The volume of the cylinder is "" + total); } }"	True	The two code samples have identical overall structure, logic, calculations, and output strings, which is too similar to be coincidental. While there are superficial differences like some variable names and comments, the core implementation is essentially the same, strongly suggesting that one was copied from the other with only minor modifications.
"import java.util.Scanner;  public class T2 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in);   // Enter radius of the cylinder  System.out.print(""Enter the radius and length of a cylinder: "");  double radius = input.nextDouble();  double length = input.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + area);  System.out.println(""The volume of the cylinder is "" + volume);  }  }"	"import java.util.*; public class L3 { public static void main(String[] args) {  Scanner input = new Scanner(System.in);  double jari2 = 0;  double panjang = 0;  System.out.print(""Enter the radius and length of a cylinder: "");  jari2 = input.nextDouble();  panjang = input.nextDouble();  double luas = jari2 * jari2 * 3.14159;  double total = luas * panjang;  System.out.print(""The area is "" + luas + "" , "");  System.out.println(""The volume of the cylinder is "" + total);  } }"	True	The code samples exhibit nearly identical structure, logic, and even specific wording in key areas such as user prompts and output statements, which is unlikely to occur independently. Despite minor differences in variable names and formatting, the overall similarity in implementation, including the use of the same mathematical constant (3.14159) and calculation methods, strongly suggests that one code sample was derived from the other or both were derived from a common source.
"import java.util.Scanner;  public class T2 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in);   // Enter radius of the cylinder  System.out.print(""Enter the radius and length of a cylinder: "");  double radius = input.nextDouble();  double length = input.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + area);  System.out.println(""The volume of the cylinder is "" + volume);  }  }"	"import java.util.*; public class L4 { public static double hitLuas(double jari2) { return jari2 * jari2 * 3.14159; } public static double total(double luas, double panjang) { return luas * panjang; } public static void main(String[] args) { Scanner input = new Scanner(System.in); double jari2 = 0; double panjang = 0; System.out.print(""Enter the radius and length of a cylinder: ""); jari2 = input.nextDouble(); panjang = input.nextDouble(); double luas = hitLuas(jari2); double total = total(luas,panjang); System.out.print(""The area is "" + luas + "" , ""); System.out.println(""The volume of the cylinder is "" + total); } }"	True	The code samples show significant similarities in their overall structure, purpose, and specific details like the input prompt and pi value, strongly suggesting they are not independently created. However, there are also notable differences in implementation, such as the use of methods in the second sample, which indicates some level of individual work or modification rather than direct copying.
"import java.util.Scanner;  public class T2 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in);   // Enter radius of the cylinder  System.out.print(""Enter the radius and length of a cylinder: "");  double radius = input.nextDouble();  double length = input.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + area);  System.out.println(""The volume of the cylinder is "" + volume);  }  }"	"import java.util.*; public class L5 { public static double hitLuas(double jari2) {  return jari2 * jari2 * 3.14159;  } public static double total(double luas, double panjang) {  return luas * panjang;  } public static void main(String[] args) {  Scanner input = new Scanner(System.in);  double jari2, panjang;  double luas, total;  System.out.print(""Enter the radius and length of a cylinder: "");  jari2 = input.nextDouble();  panjang = input.nextDouble();  luas = hitLuas(jari2);  total = total(luas, panjang); System.out.print(""The area is "" + luas + "" , "");  System.out.println(""The volume of the cylinder is "" + total);  } }"	True	The two code samples share identical core logic, user prompts, and a specific pi approximation, which is highly unlikely to occur independently. While the second sample attempts to disguise potential copying through restructuring and variable renaming, these superficial changes do not mask the underlying similarities that strongly suggest derivation from the first code sample.
"import java.util.Scanner;  public class T2 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in);   // Enter radius of the cylinder  System.out.print(""Enter the radius and length of a cylinder: "");  double radius = input.nextDouble();  double length = input.nextDouble();   double area = radius * radius * 3.14159;  double volume = area * length;   System.out.println(""The area is "" + area);  System.out.println(""The volume of the cylinder is "" + volume);  }  }"	"import java.util.*; public class L6 { public static double hitLuas(double jari2) {  return jari2 * jari2 * 3.14159;  } public static double total(double luas, double panjang) {  return luas * panjang;  } public static void main(String[] args) {  Scanner input = new Scanner(System.in);  double jari2, panjang;  double luas, total;  jari2 = 0;  panjang = 0;  System.out.print(""Enter the radius and length of a cylinder: "");  for (int i = 0; i < 1; i++) {  jari2 = input.nextDouble();  panjang = input.nextDouble();  } luas = hitLuas(jari2);  total = total(luas, panjang); System.out.print(""The area is "" + luas + "" , "");  System.out.println(""The volume of the cylinder is "" + total);  } }"	True	The two code samples share significant similarities in structure, core logic, and specific elements like the input prompt and pi value, which are unlikely to occur by chance in independently developed programs. While there are some differences in implementation details, these appear to be superficial changes that don't fundamentally alter the underlying approach, suggesting that one code sample may have been derived from the other with attempts to disguise the similarity.
"import java.util.Scanner; public class T3 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in); // Prompt the user to enter weight in pounds  System.out.print(""Enter weight in pounds: "");  double weight = input.nextDouble(); // Prompt the user to enter height  System.out.print(""Enter feet: "");  double feet = input.nextDouble();  System.out.print(""Enter inches: "");  double inches = input.nextDouble(); double height = feet * 12 + inches; // Compute BMI  double bmi = weight * 0.45359237 / ((height * 0.0254) * (height * 0.0254)); // Display result  System.out.println(""BMI is "" + bmi);  if (bmi < 18.5)  System.out.println(""Underweight"");  else if (bmi < 25)  System.out.println(""Normal"");  else if (bmi < 30)  System.out.println(""Overweight"");  else  System.out.println(""Obese"");  } }"	"import java.util.Scanner; /* * To change this license header, choose License Headers in Project Properties. * To change this template file, choose Tools | Templates * and open the template in the editor. */ /** * * @author CB6AB3315634A1E4D11B091BA48B60BA 7E51EEA5FA101ED4DADE9AD3A7A072BB 2F809B10D1ABEDBF2EC288F851B3EBBB */ public class T03 {  public static void main(String[] args){ Scanner sc = new Scanner(System.in); System.out.print(""Enter weight in pounds: "");  int weight = sc.nextInt();  System.out.print(""Enter feet: "");  int feet = sc.nextInt();  System.out.print(""Enter inches: "");  int inches = sc.nextInt(); int height = feet * 12 + inches;  double bmi = weight * 0.45359237 / ((height * 0.0254) * (height * 0.0254)); System.out.println(""BMI is "" + bmi); if(bmi < 18.5){  System.out.println(""Underweight"");  }else if(bmi >= 18.5 && bmi < 25){  System.out.println(""Normal"");  }else if(bmi >= 35){  System.out.println(""Obese"");  } } }"	False	These code samples are not plagiarized because they represent standard solutions to a common beginner programming exercise (BMI calculator), which naturally leads to similarities in structure, calculations, and variable names. The differences in implementation details, such as variable types, input methods, and BMI classification thresholds, along with unique elements like the encoded header comment in the second sample, indicate these are independently written programs following similar assignment requirements.
"import java.util.Scanner; public class T3 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in); // Prompt the user to enter weight in pounds  System.out.print(""Enter weight in pounds: "");  double weight = input.nextDouble(); // Prompt the user to enter height  System.out.print(""Enter feet: "");  double feet = input.nextDouble();  System.out.print(""Enter inches: "");  double inches = input.nextDouble(); double height = feet * 12 + inches; // Compute BMI  double bmi = weight * 0.45359237 / ((height * 0.0254) * (height * 0.0254)); // Display result  System.out.println(""BMI is "" + bmi);  if (bmi < 18.5)  System.out.println(""Underweight"");  else if (bmi < 25)  System.out.println(""Normal"");  else if (bmi < 30)  System.out.println(""Overweight"");  else  System.out.println(""Obese"");  } }"	"import java.util.Scanner; /**  *  * @author 65FBEF05E01FAC390CB3FA073FB3E8CF (452BF208BF901322968557227B8F6EFE010)  */ public class T03 { public static void main(String[] args) { Scanner s = new Scanner(System.in); System.out.print(""Enter weight in pounds: ""); float w=s.nextFloat(); System.out.print(""Enter feet: ""); float f=s.nextFloat(); System.out.print(""Enter inches: ""); float i=s.nextFloat(); float h=f*12+i; float bmi = (float) ((w*0.45359237)/((h*0.0254)*(h*0.0254))); System.out.println(""BMI is ""+bmi); if(bmi<18.5){ System.out.println(""Underweight""); } else if (bmi>=18.5 && bmi<25){ System.out.println(""Normal""); } else if (bmi>=25 && bmi<35){ System.out.println(""Overweight""); } else if (bmi>=35) { System.out.println(""Obese""); } } }"	False	The two code samples, while solving the same problem and sharing some similarities due to the nature of the task, have enough distinct differences in implementation details, variable naming, and coding style to be considered separate, original works rather than instances of plagiarism.
"import java.util.Scanner; public class T3 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in); // Prompt the user to enter weight in pounds  System.out.print(""Enter weight in pounds: "");  double weight = input.nextDouble(); // Prompt the user to enter height  System.out.print(""Enter feet: "");  double feet = input.nextDouble();  System.out.print(""Enter inches: "");  double inches = input.nextDouble(); double height = feet * 12 + inches; // Compute BMI  double bmi = weight * 0.45359237 / ((height * 0.0254) * (height * 0.0254)); // Display result  System.out.println(""BMI is "" + bmi);  if (bmi < 18.5)  System.out.println(""Underweight"");  else if (bmi < 25)  System.out.println(""Normal"");  else if (bmi < 30)  System.out.println(""Overweight"");  else  System.out.println(""Obese"");  } }"	"import java.util.Scanner; /** * * @author CB6AB3315634A1E4D11B091BA48B60BA */ public class Nomor3_2451041557A22145B3701B0184109CAB013 { /** * @param args the command line arguments /  public static void main(String[] args) {  Scanner sc = new Scanner(System.in);  System.out.print(""Enter weight in pounds: "");  int weight = sc.nextInt();  System.out.print(""Enter feet: "");  int feet = sc.nextInt();  System.out.print(""Enter inch: "");  int inches = sc.nextInt();  int height = feet12 + inches;  double bmi = weight0.45359237/((height0.0254)(height0.0254));  System.out.println(""BMI is "" + bmi);  if(bmi<18.5){  System.out.println(""underweight"");  }  else if(bmi>=18.5 && bmi<25){  System.out.println(""Normal"");  }  else if(bmi>=25 && bmi<35){  System.out.println(""overweight"");  }  else if(bmi >35){  System.out.println(""obese"");  }  } }"	False	The two code samples, while solving the same problem of BMI calculation, show distinct implementation styles and coding practices. Key differences include variable type choices, input handling methods, code structure, and BMI category thresholds, indicating they were likely developed independently by different programmers approaching the same task.
"import java.util.Scanner; public class T3 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in); // Prompt the user to enter weight in pounds  System.out.print(""Enter weight in pounds: "");  double weight = input.nextDouble(); // Prompt the user to enter height  System.out.print(""Enter feet: "");  double feet = input.nextDouble();  System.out.print(""Enter inches: "");  double inches = input.nextDouble(); double height = feet * 12 + inches; // Compute BMI  double bmi = weight * 0.45359237 / ((height * 0.0254) * (height * 0.0254)); // Display result  System.out.println(""BMI is "" + bmi);  if (bmi < 18.5)  System.out.println(""Underweight"");  else if (bmi < 25)  System.out.println(""Normal"");  else if (bmi < 30)  System.out.println(""Overweight"");  else  System.out.println(""Obese"");  } }"	"import java.util.Scanner; public class L1 { public static void main(String[] args) {  Scanner input = new Scanner(System.in); System.out.print(""Enter weight in pounds: "");  double weight = input.nextDouble(); System.out.print(""Enter feet: "");  double feet = input.nextDouble();  System.out.print(""Enter inches: "");  double inches = input.nextDouble();  double height = feet * 12 + inches; double bmi = weight * 0.45359237  / ((height * 0.0254) * (height * 0.0254)); System.out.println(""BMI is "" + bmi);  if (bmi < 18.5) {  System.out.println(""Underweight"");  } else if (bmi < 25) {  System.out.println(""Normal"");  } else if (bmi < 30) {  System.out.println(""Overweight"");  } else {  System.out.println(""Obese"");  }  } }"	True	The two code samples are nearly identical in structure, logic, variable names, and even specific constants used, with only minor differences in formatting and class names. This level of similarity is extremely unlikely to occur independently and strongly indicates that one sample was copied from the other or both were derived from a common source.
"import java.util.Scanner; public class T3 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in); // Prompt the user to enter weight in pounds  System.out.print(""Enter weight in pounds: "");  double weight = input.nextDouble(); // Prompt the user to enter height  System.out.print(""Enter feet: "");  double feet = input.nextDouble();  System.out.print(""Enter inches: "");  double inches = input.nextDouble(); double height = feet * 12 + inches; // Compute BMI  double bmi = weight * 0.45359237 / ((height * 0.0254) * (height * 0.0254)); // Display result  System.out.println(""BMI is "" + bmi);  if (bmi < 18.5)  System.out.println(""Underweight"");  else if (bmi < 25)  System.out.println(""Normal"");  else if (bmi < 30)  System.out.println(""Overweight"");  else  System.out.println(""Obese"");  } }"	"import java.util.*; public class L2 { public static void main(String[] args) { Scanner sc = new Scanner(System.in); System.out.print(""Enter weight in pounds: ""); double berat = sc.nextDouble(); System.out.print(""Enter feet: ""); double feet = sc.nextDouble(); System.out.print(""Enter inches: ""); double inci = sc.nextDouble(); double tinggi = feet * 12 + inci; double bmi = berat * 0.45359237 / ((tinggi * 0.0254) * (tinggi * 0.0254)); System.out.println(""BMI is "" + bmi); if (bmi < 18.5) { System.out.println(""Underweight""); } else if (bmi < 25) { System.out.println(""Normal""); } else if (bmi < 30) { System.out.println(""Overweight""); } else { System.out.println(""Obese""); } } }"	True	The two code samples exhibit nearly identical structure, logic, and functionality for calculating BMI, including the same input prompts, conversion factors, calculations, and output categories. While there are minor differences in variable names and formatting, these superficial changes do not alter the fact that the core implementation is essentially the same in both samples, strongly indicating plagiarism.
"import java.util.Scanner; public class T3 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in); // Prompt the user to enter weight in pounds  System.out.print(""Enter weight in pounds: "");  double weight = input.nextDouble(); // Prompt the user to enter height  System.out.print(""Enter feet: "");  double feet = input.nextDouble();  System.out.print(""Enter inches: "");  double inches = input.nextDouble(); double height = feet * 12 + inches; // Compute BMI  double bmi = weight * 0.45359237 / ((height * 0.0254) * (height * 0.0254)); // Display result  System.out.println(""BMI is "" + bmi);  if (bmi < 18.5)  System.out.println(""Underweight"");  else if (bmi < 25)  System.out.println(""Normal"");  else if (bmi < 30)  System.out.println(""Overweight"");  else  System.out.println(""Obese"");  } }"	"import java.util.*; public class L3 { public static void main(String[] args) {  Scanner sc = new Scanner(System.in);  double berat = 0;  double inci = 0;  double tinggi = 0 ;  double bmi = 0;  double feet = 0; System.out.print(""Enter weight in pounds: "");  berat = sc.nextDouble(); System.out.print(""Enter feet: "");  feet = sc.nextDouble();  System.out.print(""Enter inches: "");  inci = sc.nextDouble(); tinggi = feet * 12 + inci;  bmi = berat * 0.45359237  / ((tinggi * 0.0254) * (tinggi * 0.0254)); System.out.println(""BMI is "" + bmi);  if (bmi < 18.5) {  System.out.println(""Underweight"");  } else if (bmi < 25) {  System.out.println(""Normal"");  } else if (bmi < 30) {  System.out.println(""Overweight"");  } else {  System.out.println(""Obese"");  }  } }"	True	The two code samples exhibit striking similarities in structure, logic, and even specific implementation details like the BMI calculation formula and classification thresholds, suggesting that one was likely derived from the other or both from a common source. While there are minor differences in variable names and formatting, the overall approach, user prompts, and output messages are nearly identical, indicating a high probability of code plagiarism rather than independent development.
"import java.util.Scanner; public class T3 {  public static void main(String[] args) {  Scanner input = new Scanner(System.in); // Prompt the user to enter weight in pounds  System.out.print(""Enter weight in pounds: "");  double weight = input.nextDouble(); // Prompt the user to enter height  System.out.print(""Enter feet: "");  double feet = input.nextDouble();  System.out.print(""Enter inches: "");  double inches = input.nextDouble(); double height = feet * 12 + inches; // Compute BMI  double bmi = weight * 0.45359237 / ((height * 0.0254) * (height * 0.0254)); // Display result  System.out.println(""BMI is "" + bmi);  if (bmi < 18.5)  System.out.println(""Underweight"");  else if (bmi < 25)  System.out.println(""Normal"");  else if (bmi < 30)  System.out.println(""Overweight"");  else  System.out.println(""Obese"");  } }"	"import java.util.*; public class L4 { public static double hitBmi(double berat, double tinggi) { return berat * 0.45359237 / ((tinggi * 0.0254) * (tinggi * 0.0254)); } public static void main(String[] args) { Scanner sc = new Scanner(System.in); double berat = 0; double inci = 0; double tinggi = 0 ;  double feet = 0; System.out.print(""Enter weight in pounds: ""); berat = sc.nextDouble(); System.out.print(""Enter feet: ""); feet = sc.nextDouble(); System.out.print(""Enter inches: ""); inci = sc.nextDouble();  tinggi = feet * 12 + inci; System.out.println(""BMI is "" + hitBmi(berat,tinggi)); if (hitBmi(berat,tinggi) < 18.5) { System.out.println(""Underweight""); } else if (hitBmi(berat,tinggi) < 25) { System.out.println(""Normal""); } else if (hitBmi(berat,tinggi) < 30) { System.out.println(""Overweight""); } else { System.out.println(""Obese""); } } }"	True	The two code samples exhibit striking similarities in overall structure, logic flow, and specific implementation details, including identical user prompts, BMI calculation formula, and categorization thresholds. While minor differences exist in variable naming and method organization, the extent of matching elements, particularly in the user interface and core algorithm, strongly suggests that one code sample was derived from the other or both were based on a common source.
